"","id","family_id","name","latitude","longitude"
"431","gola1255","atla1278","Gola",7.06193,-10.8138
"432","golo1234","atla1278","Golo",7.75,26.85
"433","gonj1241","atla1278","Gonja",8.48801,-0.72757
"434","goun1238","atla1278","Goundo",9.46683,16.255
"435","gour1243","atla1278","Gourmanchéma",11.6711,1.28489
"436","guaa1238","atla1278","Gua",6.52106,0.16932
"437","gube1234","atla1278","Gubeeher-Gufangor-Gubelor",12.526764,-16.352752
"438","gula1265","atla1278","Gula Iro",10.267,19.5359
"439","gund1247","atla1278","Gundi",3.68861,17.30096
"440","gung1250","atla1278","Gungu",2.06754,31.4819
"441","gunn1250","atla1278","Gun",6.48529,2.76767
"442","gupa1248","atla1278","Gupa",8.21291,6.69128
"443","gurm1246","atla1278","Gurmana",10.1487,6.79456
"444","gusi1246","atla1278","Gusilay",12.7761,-16.5026
"445","gusi1247","atla1278","Gusii",-0.78872,34.76751
"446","gwaa1239","atla1278","Gwa",10.3069,9.11434
"447","gwam1244","atla1278","Gwamhi-Wuri",11.8081,5.07897
"448","gwar1240","atla1278","Gwara",9.49,7.88
"449","gwen1239","atla1278","Gweno",-3.68407,37.6827
"450","gwer1238","atla1278","Gwere",1.11392,33.8227
"451","gyel1242","atla1278","Gyele",2.47457,10.2493
"452","gyem1238","atla1278","Gyem",10.4109,9.23923
"453","haaa1252","atla1278","Ha",-3.77873,30.4894
"454","hamb1245","atla1278","Hamba de Lomela",-2.49047,24.2299
"455","hang1258","atla1278","Hanga",9.33929,-1.57833
"456","hang1260","atla1278","Hangaza",-2.52347,30.7074
"457","hash1238","atla1278","Hasha",9.14063,8.66137
"458","havu1238","atla1278","Havu",-1.99975,28.8624
"459","haya1250","atla1278","Haya",-1.70878,31.4846
"460","hehe1240","atla1278","Hehe",-7.71572,35.7255
"461","hema1238","atla1278","Hema",1.04953,30.0872
"462","hemb1242","atla1278","Hemba-Yazi",-7.77459,27.5913
"463","here1253","atla1278","Herero",-21.0231,20.5655
